name,email,date_of_birth,mobile_no,reason
Allison Livingston,Allison_Livingston@jones-thompson.com,1950/12/01,503175,MOBILE NUMBER NOT 8 DIGITS
Chris Hays,Chris_Hays@todd-mccoy.info,08/27/1951,2661590,MOBILE NUMBER NOT 8 DIGITS
Courtney Mitchell,Courtney_Mitchell@dominguez.biz,27-12-1981,657699,MOBILE NUMBER NOT 8 DIGITS
Shawn White,Shawn_White@kerr.com,1960/09/15,21631,MOBILE NUMBER NOT 8 DIGITS
Zachary Watts,Zachary_Watts@nguyen-whitehead.info,1984-12-30,3427810,MOBILE NUMBER NOT 8 DIGITS
Sarah Montoya,Sarah_Montoya@jackson.com,2000-11-07,31426,MOBILE NUMBER NOT 8 DIGITS
Jennifer Barker,Jennifer_Barker@wilson.net,2011/05/26,61006,MOBILE NUMBER NOT 8 DIGITS
Tiffany Stevens,Tiffany_Stevens@estrada.com,05/23/1962,6246556,MOBILE NUMBER NOT 8 DIGITS
Ruben Armstrong,Ruben_Armstrong@watkins.com,10-09-2015,6962936,MOBILE NUMBER NOT 8 DIGITS
Dr. Jeffrey Spencer,Jeffrey_Spencer@cooke.com,1982/12/29,19976,MOBILE NUMBER NOT 8 DIGITS
Nicole Ramsey,Nicole_Ramsey@vega.biz,1970/07/11,340839,MOBILE NUMBER NOT 8 DIGITS
Anne Roy,Anne_Roy@humphrey-smith.com,1969/08/27,87811,MOBILE NUMBER NOT 8 DIGITS
Allison Chavez,Allison_Chavez@lewis.biz,1984-08-18,64931,MOBILE NUMBER NOT 8 DIGITS
Marcus Adams,Marcus_Adams@perry.info,01/22/1985,5901652,MOBILE NUMBER NOT 8 DIGITS
Mary Smith,Mary_Smith@meyer.net,1993/07/17,64046,MOBILE NUMBER NOT 8 DIGITS
Joseph Reed,Joseph_Reed@kelley.com,12/20/1951,1879 8163,MOBILE NUMBER NOT 8 DIGITS
Jeff Armstrong,Jeff_Armstrong@kennedy-lucas.com,1954-03-01,88331,MOBILE NUMBER NOT 8 DIGITS
Sean Shields,Sean_Shields@christian.info,2001/02/16,617613,MOBILE NUMBER NOT 8 DIGITS
Christian Grant,Christian_Grant@booker-frank.com,09/23/1979,8851893,MOBILE NUMBER NOT 8 DIGITS
Edward Watson,Edward_Watson@brooks.com,2007-12-04,946371,MOBILE NUMBER NOT 8 DIGITS
Derrick Cooke,Derrick_Cooke@hill.net,2004-09-15,4575922,MOBILE NUMBER NOT 8 DIGITS
Sean Patrick,Sean_Patrick@rivera.com,25-10-2000,41681,MOBILE NUMBER NOT 8 DIGITS
Heather Collins,Heather_Collins@williams.com,1986/12/03,910971,MOBILE NUMBER NOT 8 DIGITS
Megan Gomez,Megan_Gomez@wade-stone.com,2008-01-29,3002476,MOBILE NUMBER NOT 8 DIGITS
William Hale,William_Hale@pena.info,22-04-2007,4519208,MOBILE NUMBER NOT 8 DIGITS
Olivia Thompson,Olivia_Thompson@bryan-navarro.com,30-11-2005,481533,MOBILE NUMBER NOT 8 DIGITS
Lori Torres,Lori_Torres@hill.net,1996/02/31,5795175,MOBILE NUMBER NOT 8 DIGITS
Vickie Hernandez,Vickie_Hernandez@chapman.com,02/14/1963,25106,MOBILE NUMBER NOT 8 DIGITS
Kimberly Brown,Kimberly_Brown@jones.com,11/23/1960,820029,MOBILE NUMBER NOT 8 DIGITS
Phillip Hansen,Phillip_Hansen@spence.com,2010/06/23,816429,MOBILE NUMBER NOT 8 DIGITS
Jeanette Knight,Jeanette_Knight@carey.com,1952/01/30,72491,MOBILE NUMBER NOT 8 DIGITS
Kayla Hanson,Kayla_Hanson@clay.biz,10-08-1967,6484759,MOBILE NUMBER NOT 8 DIGITS
James Johnston,James_Johnston@fox-brandt.org,1968-10-16,52358919,EMAIL NOT .NET OR .COM
Dr. John Porter,John_Porter@cobb-lee.com,07-10-1985,4437021,MOBILE NUMBER NOT 8 DIGITS
Elizabeth Reyes,Elizabeth_Reyes@roberson.com,31-01-1955,32301,MOBILE NUMBER NOT 8 DIGITS
Kristen Henry,Kristen_Henry@parker.com,07-02-2014,675081,MOBILE NUMBER NOT 8 DIGITS
Claudia Anderson,Claudia_Anderson@smith-lynch.info,05-10-2012,53767631,EMAIL NOT .NET OR .COM
Nicholas Webb,Nicholas_Webb@johnson.com,11/03/1953,993549,MOBILE NUMBER NOT 8 DIGITS
Allison Cooper,Allison_Cooper@taylor.biz,2001/12/05,93151,MOBILE NUMBER NOT 8 DIGITS
Zachary Barnes,Zachary_Barnes@horne.biz,2005-05-03,41935039,EMAIL NOT .NET OR .COM
Gregory Hill III,Gregory_Hill@sims-sparks.net,1991/11/02,2850534,MOBILE NUMBER NOT 8 DIGITS
Terry Ayers,Terry_Ayers@morris.com,2007-08-06,76391,MOBILE NUMBER NOT 8 DIGITS
Jessica Wilson,Jessica_Wilson@nichols.com,11/15/1954,662205,MOBILE NUMBER NOT 8 DIGITS
Daniel Frazier,Daniel_Frazier@reilly.org,26-10-2017,2907584,MOBILE NUMBER NOT 8 DIGITS
Brian Welch,Brian_Welch@armstrong.net,11-11-2005,417927,MOBILE NUMBER NOT 8 DIGITS
Carol Chavez,Carol_Chavez@cantu-shelton.com,07/03/2004,4824387,MOBILE NUMBER NOT 8 DIGITS
Ethan Mcdonald,Ethan_Mcdonald@lewis.com,1990-01-15,57126,MOBILE NUMBER NOT 8 DIGITS
Gerald Martinez,Gerald_Martinez@jenkins-barnes.net,1986/07/01,30641,MOBILE NUMBER NOT 8 DIGITS
Eric King,Eric_King@graham.com,14-09-1970,895557,MOBILE NUMBER NOT 8 DIGITS
Sylvia Walters,Sylvia_Walters@archer.com,2009-02-14,64876,MOBILE NUMBER NOT 8 DIGITS
Jonathan Lane,Jonathan_Lane@wright.com,2008/01/09,935133,MOBILE NUMBER NOT 8 DIGITS
Jeffrey Bauer,Jeffrey_Bauer@garza.com,08/13/1966,5115 4803,MOBILE NUMBER NOT 8 DIGITS
Jessica Shaffer,Jessica_Shaffer@alexander.com,2013-03-05,1444542,MOBILE NUMBER NOT 8 DIGITS
Chris Spencer,Chris_Spencer@pacheco.net,04/19/1993,45821,MOBILE NUMBER NOT 8 DIGITS
Mary Clarke,Mary_Clarke@jacobs-martin.org,03/05/1959,6620314,MOBILE NUMBER NOT 8 DIGITS
Timothy Mendoza,Timothy_Mendoza@rodriguez-crawford.com,1979/12/22,45876,MOBILE NUMBER NOT 8 DIGITS
Alicia Hoffman,Alicia_Hoffman@gomez.com,2011-07-16,633645,MOBILE NUMBER NOT 8 DIGITS
Joseph Gardner,Joseph_Gardner@bray.com,18-01-1953,18996,MOBILE NUMBER NOT 8 DIGITS
Rachael Rangel,Rachael_Rangel@marquez.biz,1980-06-18,88691,MOBILE NUMBER NOT 8 DIGITS
Jeffrey Harrington,Jeffrey_Harrington@smith.com,07-08-1966,76691,MOBILE NUMBER NOT 8 DIGITS
Debbie Freeman,Debbie_Freeman@thompson.net,27-04-2010,699285,MOBILE NUMBER NOT 8 DIGITS
Matthew Braun,Matthew_Braun@logan.net,1974/04/28,4133403,MOBILE NUMBER NOT 8 DIGITS
Sheri Hudson,Sheri_Hudson@smith.com,20-09-2009,18706439,BELOW 18
Mary King,Mary_King@thomas-bates.com,05-03-2016,9495998,MOBILE NUMBER NOT 8 DIGITS
Beth Davis,Beth_Davis@hernandez.com,26-09-2010,169533,MOBILE NUMBER NOT 8 DIGITS
Margaret Castillo,Margaret_Castillo@gross.biz,12-12-1960,374415,MOBILE NUMBER NOT 8 DIGITS
Tommy Sandoval,Tommy_Sandoval@fischer.com,24-07-1966,266061,MOBILE NUMBER NOT 8 DIGITS
Christopher Hines,Christopher_Hines@long-hammond.com,10/09/2015,11201,MOBILE NUMBER NOT 8 DIGITS
Richard Wright,Richard_Wright@griffin-fletcher.info,06-01-2006,539817,MOBILE NUMBER NOT 8 DIGITS
Michael Brown,Michael_Brown@smith-schmidt.net,2012/06/18,47713991,BELOW 18
Nathan Yu,Nathan_Yu@murray.com,2001-11-12,67541,MOBILE NUMBER NOT 8 DIGITS
Cameron Ford,Cameron_Ford@finley-vazquez.org,05/23/1966,606009,MOBILE NUMBER NOT 8 DIGITS
Carla Hayes,Carla_Hayes@singh-ponce.net,03/01/1819,6159196,MOBILE NUMBER NOT 8 DIGITS
Marissa Matthews,Marissa_Matthews@graves.com,02/21/1972,2063 6447,MOBILE NUMBER NOT 8 DIGITS
Gary Figueroa,Gary_Figueroa@hernandez.com,07/11/1963,3026717,MOBILE NUMBER NOT 8 DIGITS
Michael West,Michael_West@rojas.net,2011-07-23,2103781,MOBILE NUMBER NOT 8 DIGITS
Martin Walton,Martin_Walton@grant.org,2011/05/12,593379,MOBILE NUMBER NOT 8 DIGITS
Christopher Stephenson,Christopher_Stephenson@wade.com,05/06/1962,435111,MOBILE NUMBER NOT 8 DIGITS
Eric Ortiz,Eric_Ortiz@johnson.com,2005-02-08,3593234,MOBILE NUMBER NOT 8 DIGITS
Andrew Cowan,Andrew_Cowan@gray-young.info,22-08-1961,128361,MOBILE NUMBER NOT 8 DIGITS
Rhonda Moss DDS,Rhonda_Moss@nelson.com,1951/12/30,817173,MOBILE NUMBER NOT 8 DIGITS
Sarah Williams,Sarah_Williams@morris.org,05-06-1985,553179,MOBILE NUMBER NOT 8 DIGITS
Carolyn Collins,Carolyn_Collins@taylor.info,1996/12/26,82871,MOBILE NUMBER NOT 8 DIGITS
Larry Mooney,Larry_Mooney@west-sanchez.info,2010-10-28,61381,MOBILE NUMBER NOT 8 DIGITS
Laura Livingston,Laura_Livingston@ponce.biz,1991-03-07,178515,MOBILE NUMBER NOT 8 DIGITS
Candace Mckenzie,Candace_Mckenzie@evans-fields.com,03/18/1952,4009167,MOBILE NUMBER NOT 8 DIGITS
Candace Wallace,Candace_Wallace@dickerson.com,05-08-1998,45146,MOBILE NUMBER NOT 8 DIGITS
Jason White,Jason_White@hill.org,05-05-2005,186057,MOBILE NUMBER NOT 8 DIGITS
Patricia Reynolds,Patricia_Reynolds@holt-sweeney.com,2012/05/08,21775831,BELOW 18
Michael Ellison,Michael_Ellison@brown.com,1988/04/07,398331,MOBILE NUMBER NOT 8 DIGITS
Melissa Robles,Melissa_Robles@ryan-meyers.com,05/19/1980,90836,MOBILE NUMBER NOT 8 DIGITS
Heidi Fry,Heidi_Fry@ross.org,07/02/1998,82436,MOBILE NUMBER NOT 8 DIGITS
James Smith,James_Smith@perez-cole.info,1966/02/25,85794215,EMAIL NOT .NET OR .COM
Charles Ruiz,Charles_Ruiz@sullivan-jones.com,01/13/1968,8515 8255,MOBILE NUMBER NOT 8 DIGITS
Stephanie Green DDS,Stephanie_Green@collins.com,2011-11-12,736485,MOBILE NUMBER NOT 8 DIGITS
Stacey Garcia,Stacey_Garcia@dalton-henry.com,1987/01/20,72151,MOBILE NUMBER NOT 8 DIGITS
Glenda Burke,Glenda_Burke@smith.biz,14-03-1976,83726,MOBILE NUMBER NOT 8 DIGITS
Zachary Alvarez,Zachary_Alvarez@kelly.com,2001-09-10,25626,MOBILE NUMBER NOT 8 DIGITS
Rachel Shaw,Rachel_Shaw@stevenson-martinez.com,12/23/1958,6651 1687,MOBILE NUMBER NOT 8 DIGITS
Carmen Beard,Carmen_Beard@estrada.net,2016/02/29,60170903,BELOW 18
Tony Daniels,Tony_Daniels@arellano.com,06/14/1976,9584653,MOBILE NUMBER NOT 8 DIGITS
Randy Mora,Randy_Mora@herrera-strong.biz,27-11-1993,77326903,EMAIL NOT .NET OR .COM
George Aguirre,George_Aguirre@herrera.com,2002/12/01,615255,MOBILE NUMBER NOT 8 DIGITS
James Miller,James_Miller@nguyen.com,08/31/1971,6491 7031,MOBILE NUMBER NOT 8 DIGITS
Jacqueline Williams,Jacqueline_Williams@bell-salas.biz,1991-08-10,48250447,EMAIL NOT .NET OR .COM
April Taylor,April_Taylor@barnes.net,2010-09-15,44364927,BELOW 18
Robert Johnson,Robert_Johnson@kelly.com,03/10/1956,7776119,MOBILE NUMBER NOT 8 DIGITS
Gary White,Gary_White@brown.org,12/31/1962,3255036,MOBILE NUMBER NOT 8 DIGITS
Kim Lowe,Kim_Lowe@pratt.com,11-06-1953,7925947,MOBILE NUMBER NOT 8 DIGITS
Samantha Jones,Samantha_Jones@cortez-frazier.biz,07/21/1955,8965083,MOBILE NUMBER NOT 8 DIGITS
Randy Lozano,Randy_Lozano@patton-peters.com,30-01-1970,469011,MOBILE NUMBER NOT 8 DIGITS
Arthur Chavez,Arthur_Chavez@lyons.com,1988/01/01,398565,MOBILE NUMBER NOT 8 DIGITS
Melissa Miller,Melissa_Miller@anderson-hayes.com,25-02-2011,45981,MOBILE NUMBER NOT 8 DIGITS
Leslie Mccormick,Leslie_Mccormick@moore.com,26-10-1968,240375,MOBILE NUMBER NOT 8 DIGITS
Carlos Rubio,Carlos_Rubio@maynard.org,17-06-2017,8913535,MOBILE NUMBER NOT 8 DIGITS
David York,David_York@shaffer.biz,07/14/1998,628659,MOBILE NUMBER NOT 8 DIGITS
Olivia Poole,Olivia_Poole@blake.com,04/18/1977,7408416,MOBILE NUMBER NOT 8 DIGITS
Wayne Wilson,Wayne_Wilson@christian.com,1958/02/14,8696654,MOBILE NUMBER NOT 8 DIGITS
Elizabeth Moore,Elizabeth_Moore@kelley.biz,1975/05/24,92096903,EMAIL NOT .NET OR .COM
Janice Campbell,Janice_Campbell@davis-ryan.com,15-03-1950,951693,MOBILE NUMBER NOT 8 DIGITS
Julie Johnson,Julie_Johnson@brown-murray.biz,2006/06/06,754581,MOBILE NUMBER NOT 8 DIGITS
Robert Soto,Robert_Soto@huffman.org,21-02-1964,157035,MOBILE NUMBER NOT 8 DIGITS
Brenda Cowan,Brenda_Cowan@white-marsh.com,1960/08/24,401061,MOBILE NUMBER NOT 8 DIGITS
Kayla Taylor,Kayla_Taylor@ball.biz,1955-03-23,798915,MOBILE NUMBER NOT 8 DIGITS
Antonio Garcia,Antonio_Garcia@williamson-warren.com,1969-01-23,8287959,MOBILE NUMBER NOT 8 DIGITS
Tyler Cisneros,Tyler_Cisneros@frye-velasquez.info,31-05-1969,581631,MOBILE NUMBER NOT 8 DIGITS
Jillian Crawford,Jillian_Crawford@may-meza.com,1980-06-21,638457,MOBILE NUMBER NOT 8 DIGITS
Karl Pierce,Karl_Pierce@aguilar.com,04/28/1999,4696945,MOBILE NUMBER NOT 8 DIGITS
Joann Taylor,Joann_Taylor@hernandez.com,09/07/1985,645597,MOBILE NUMBER NOT 8 DIGITS
Jennifer Jenkins,Jennifer_Jenkins@gilmore-king.com,12/21/1992,689985,MOBILE NUMBER NOT 8 DIGITS
Nancy Brown,Nancy_Brown@alexander.com,1969-05-01,40586,MOBILE NUMBER NOT 8 DIGITS
Emma Munoz,Emma_Munoz@hill.com,1967/10/17,3247525,MOBILE NUMBER NOT 8 DIGITS
Melissa Mcguire,Melissa_Mcguire@smith-payne.org,1975/04/02,7129991,MOBILE NUMBER NOT 8 DIGITS
Bryan Chavez,Bryan_Chavez@campbell-boyd.com,08-09-2002,686979,MOBILE NUMBER NOT 8 DIGITS
Fernando Salazar,Fernando_Salazar@humphrey.com,04/19/1972,7119 2443,MOBILE NUMBER NOT 8 DIGITS
Megan Moore,Megan_Moore@sanchez.com,02/07/1955,6151034,MOBILE NUMBER NOT 8 DIGITS
Robert Williams,Robert_Williams@rogers.net,09-03-1984,5827648,MOBILE NUMBER NOT 8 DIGITS
Kimberly Herrera,Kimberly_Herrera@stevens.com,1987-06-15,274011,MOBILE NUMBER NOT 8 DIGITS
Gloria Potts,Gloria_Potts@kidd.org,20-11-1956,93061,MOBILE NUMBER NOT 8 DIGITS
Suzanne Barnett,Suzanne_Barnett@norman-payne.com,1952-08-28,856419,MOBILE NUMBER NOT 8 DIGITS
Leah Myers,Leah_Myers@nichols-davies.info,1986-09-05,65720823,EMAIL NOT .NET OR .COM
Kylie Thomas,Kylie_Thomas@thomas.com,1996/10/05,950613,MOBILE NUMBER NOT 8 DIGITS
Christopher Matthews,Christopher_Matthews@holloway.com,18-04-1969,5612601,MOBILE NUMBER NOT 8 DIGITS
Nicole Parks,Nicole_Parks@haney-hahn.org,2005-05-09,4168158,MOBILE NUMBER NOT 8 DIGITS
Kevin Chambers,Kevin_Chambers@brown-miller.com,1996-12-03,31371,MOBILE NUMBER NOT 8 DIGITS
Kimberly Lawson,Kimberly_Lawson@bennett-fletcher.com,1968/08/24,8918561,MOBILE NUMBER NOT 8 DIGITS
Rachel Lopez,Rachel_Lopez@nichols.com,08/14/1964,88726,MOBILE NUMBER NOT 8 DIGITS
Christopher Clay,Christopher_Clay@clark-brown.biz,2017-04-21,563625,MOBILE NUMBER NOT 8 DIGITS
Daniel Martin,Daniel_Martin@mendez-miller.com,1961-09-29,2787681,MOBILE NUMBER NOT 8 DIGITS
William Taylor,William_Taylor@garcia-bush.net,11/04/1955,374985,MOBILE NUMBER NOT 8 DIGITS
Steven Johnson,Steven_Johnson@hall.com,2005-07-16,95881,MOBILE NUMBER NOT 8 DIGITS
Daniel Miller,Daniel_Miller@jackson.info,19-01-2000,86343895,EMAIL NOT .NET OR .COM
Taylor Bryant,Taylor_Bryant@walker.com,04/06/2016,80016,MOBILE NUMBER NOT 8 DIGITS
Lauren Jones,Lauren_Jones@castaneda.com,07/24/1987,9651 2831,MOBILE NUMBER NOT 8 DIGITS
Lindsey Robertson,Lindsey_Robertson@solomon.com,06/03/1970,51586,MOBILE NUMBER NOT 8 DIGITS
Allison Thomas,Allison_Thomas@phillips-garcia.com,13-02-1968,5959150,MOBILE NUMBER NOT 8 DIGITS
Susan Parsons,Susan_Parsons@carter.biz,07/29/1994,724803,MOBILE NUMBER NOT 8 DIGITS
Brady Snyder,Brady_Snyder@archer.com,15-06-1999,703269,MOBILE NUMBER NOT 8 DIGITS
Brent Mcgrath,Brent_Mcgrath@jackson-maxwell.info,2017/02/26,225897,MOBILE NUMBER NOT 8 DIGITS
Peter Smith,Peter_Smith@wright.com,12/29/1950,707703,MOBILE NUMBER NOT 8 DIGITS
Deborah Fox,Deborah_Fox@watts.org,2017/02/22,3735915,MOBILE NUMBER NOT 8 DIGITS
Heather Collins,Heather_Collins@daniels.com,2017/08/20,880443,MOBILE NUMBER NOT 8 DIGITS
Nicholas Hubbard,Nicholas_Hubbard@day.info,1964/12/24,36966279,EMAIL NOT .NET OR .COM
Misty Ramirez,Misty_Ramirez@chavez.com,23-10-2014,1951391,MOBILE NUMBER NOT 8 DIGITS
Scott Johnson,Scott_Johnson@davis.com,03/11/1965,682641,MOBILE NUMBER NOT 8 DIGITS
Jay Nixon,Jay_Nixon@brown-sanchez.info,1961/08/29,128097,MOBILE NUMBER NOT 8 DIGITS
Tony Hall,Tony_Hall@david.com,2009-02-16,8117866,MOBILE NUMBER NOT 8 DIGITS
Taylor Smith,Taylor_Smith@williams-burns.info,1985-04-09,8532231,MOBILE NUMBER NOT 8 DIGITS
Mark Reynolds,Mark_Reynolds@stokes-mcpherson.com,06/01/1989,1255759,MOBILE NUMBER NOT 8 DIGITS
Marilyn Christensen,Marilyn_Christensen@cooper-ward.com,26-03-2008,94007639,BELOW 18
Denise Atkins,Denise_Atkins@smith-shelton.net,2011/01/18,691611,MOBILE NUMBER NOT 8 DIGITS
Melissa Gonzales,Melissa_Gonzales@collins.com,2018-11-03,513771,MOBILE NUMBER NOT 8 DIGITS
Henry Hoffman,Henry_Hoffman@hubbard-garrett.com,18-05-1965,38756,MOBILE NUMBER NOT 8 DIGITS
Daisy Davenport,Daisy_Davenport@spencer-guerrero.info,1993/01/15,20866,MOBILE NUMBER NOT 8 DIGITS
Christopher Paul,Christopher_Paul@smith-gonzales.com,18-03-1955,8029330,MOBILE NUMBER NOT 8 DIGITS
Kevin Craig,Kevin_Craig@osborne-hudson.biz,14-04-2011,939093,MOBILE NUMBER NOT 8 DIGITS
Natalie Coleman,Natalie_Coleman@robertson.com,2011/10/17,80856,MOBILE NUMBER NOT 8 DIGITS
Jeremy Strickland,Jeremy_Strickland@adkins.com,12/23/1950,2015 1487,MOBILE NUMBER NOT 8 DIGITS
Gary Bonilla,Gary_Bonilla@carr.biz,03/16/1992,636849,MOBILE NUMBER NOT 8 DIGITS
Amanda Richards,Amanda_Richards@ramirez.biz,23-12-1970,32284303,EMAIL NOT .NET OR .COM
Heidi Perez,Heidi_Perez@harper.com,13-04-1970,215895,MOBILE NUMBER NOT 8 DIGITS
Robert Johnson,Robert_Johnson@mitchell.info,10/18/2000,6258351,MOBILE NUMBER NOT 8 DIGITS
Gary Mills,Gary_Mills@pearson-benson.com,1957-01-10,18231,MOBILE NUMBER NOT 8 DIGITS
Chelsea Caldwell,Chelsea_Caldwell@gomez.com,17-02-1995,268449,MOBILE NUMBER NOT 8 DIGITS
John Frye,John_Frye@johnson.org,11/18/1950,3519734,MOBILE NUMBER NOT 8 DIGITS
Michael Strong,Michael_Strong@bradley.com,24-11-1969,575217,MOBILE NUMBER NOT 8 DIGITS
Christopher Delgado,Christopher_Delgado@robinson.com,2016-07-16,715353,MOBILE NUMBER NOT 8 DIGITS
Whitney Wallace,Whitney_Wallace@valdez.info,1978-09-30,97125103,EMAIL NOT .NET OR .COM
